Wsparcie: 1.20, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.66, Zwycięstwa Ukrainy: 20.46%, Zwycięstwa Rosji: 79.54%
Wsparcie: 1.67, Zwycięstwa Ukrainy: 20.94%, Zwycięstwa Rosji: 79.06%
Wsparcie: 1.68, Zwycięstwa Ukrainy: 22.76%, Zwycięstwa Rosji: 77.24%
Wsparcie: 1.69, Zwycięstwa Ukrainy: 23.28%, Zwycięstwa Rosji: 76.72%
Wsparcie: 1.70, Zwycięstwa Ukrainy: 24.63%, Zwycięstwa Rosji: 75.37%
Wsparcie: 1.71, Zwycięstwa Ukrainy: 25.88%, Zwycięstwa Rosji: 74.12%
Wsparcie: 1.72, Zwycięstwa Ukrainy: 26.48%, Zwycięstwa Rosji: 73.52%
Wsparcie: 1.73, Zwycięstwa Ukrainy: 27.50%, Zwycięstwa Rosji: 72.50%
Wsparcie: 1.74, Zwycięstwa Ukrainy: 28.33%, Zwycięstwa Rosji: 71.67%
Wsparcie: 1.75, Zwycięstwa Ukrainy: 30.53%, Zwycięstwa Rosji: 69.47%
Wsparcie: 1.76, Zwycięstwa Ukrainy: 31.46%, Zwycięstwa Rosji: 68.54%
Wsparcie: 1.77, Zwycięstwa Ukrainy: 31.42%, Zwycięstwa Rosji: 68.58%
Wsparcie: 1.78, Zwycięstwa Ukrainy: 33.31%, Zwycięstwa Rosji: 66.69%
Wsparcie: 1.79, Zwycięstwa Ukrainy: 33.74%, Zwycięstwa Rosji: 66.26%
Wsparcie: 1.80, Zwycięstwa Ukrainy: 34.95%, Zwycięstwa Rosji: 65.05%
Wsparcie: 1.81, Zwycięstwa Ukrainy: 36.27%, Zwycięstwa Rosji: 63.73%
Wsparcie: 1.82, Zwycięstwa Ukrainy: 36.09%, Zwycięstwa Rosji: 63.91%
Wsparcie: 1.83, Zwycięstwa Ukrainy: 37.99%, Zwycięstwa Rosji: 62.01%
Wsparcie: 1.84, Zwycięstwa Ukrainy: 38.98%, Zwycięstwa Rosji: 61.02%
Wsparcie: 1.85, Zwycięstwa Ukrainy: 39.74%, Zwycięstwa Rosji: 60.26%
Wsparcie: 1.86, Zwycięstwa Ukrainy: 40.21%, Zwycięstwa Rosji: 59.79%
Wsparcie: 1.87, Zwycięstwa Ukrainy: 41.94%, Zwycięstwa Rosji: 58.06%
Wsparcie: 1.88, Zwycięstwa Ukrainy: 42.36%, Zwycięstwa Rosji: 57.64%
Wsparcie: 1.89, Zwycięstwa Ukrainy: 44.50%, Zwycięstwa Rosji: 55.50%
Wsparcie: 1.90, Zwycięstwa Ukrainy: 44.38%, Zwycięstwa Rosji: 55.62%
